Ensembl	C13	C14	C17	C19	C20	C21	C22	C23	Ds11	Ds12	Ds13	Ds15	Ds16	Ds17	Ds18	Ds19
ENSG00000180964	86.83931364	82.84797565	55.95689189	53.57504338	51.01452282	51.66926513	55.21072391	54.19300514	15.64316271	45.52560699	43.06996396	31.12735182	45.66126517	14.23930541	25.54907391	35.23818403
ENSG00000204065	108.606789	97.40825256	91.1392045	88.22635614	83.32740929	77.77284366	89.89635	77.91326617	37.96607007	70.59060963	68.68916667	38.37838229	62.92389028	13.7862366	19.43575149	61.32799337
ENSG00000133134	177.6447351	148.1508176	139.329642	132.2762441	128.2832659	126.9741341	137.8478861	118.745589	31.45760092	115.2624209	100.1562309	42.14411082	75.28522726	9.902789674	14.9949418	76.34939874
ENSG00000182916	153.9403234	189.5020041	107.1660926	90.59973373	96.55134742	85.77794107	93.67930701	79.64467209	27.17571331	86.5382938	71.56668581	36.09490861	58.95961311	12.55647841	55.71197607	52.78198079
ENSG00000185222	34.17309156	54.89224397	25.52227046	27.72105021	25.25827513	24.42662136	23.0044683	24.26853957	26.37642763	21.95474684	23.20579955	18.6683989	25.55156828	13.39789191	20.99291852	20.1414834
ENSG00000166681	282.3776513	163.0751015	255.6343541	220.0912148	240.7144051	240.7857365	241.2146304	219.1094185	118.5226488	213.5708984	189.7615582	128.8760499	149.8857157	58.96366923	78.95413586	143.5127751
ENSG00000172476	6.271984416	6.333720458	4.802577774	4.30372469	4.564748517	6.35978095	6.057843318	4.847936562	2.112397884	4.787354519	4.672100976	6.890481998	5.694143565	3.883446931	2.191568417	4.705954064
ENSG00000133142	247.4666792	320.3260921	177.6953776	151.0101046	156.5293764	139.0925227	164.5330694	144.8898183	78.55836454	124.0138269	131.3448254	73.91243771	103.791984	40.38784808	86.91298959	90.50490856
ENSG00000196507	95.18658701	84.81361303	88.97118367	71.42284283	82.58045044	65.14820386	82.96944899	72.48819431	52.52448792	77.39048261	75.27961374	58.12842662	76.51054929	39.35226223	87.43204526	58.42912566
ENSG00000172465	38.27755195	42.22480305	33.86503413	33.98676704	32.17456076	33.0328921	32.8197081	31.02102264	11.58964244	24.18071423	23.7936798	18.6683989	23.71358523	10.48530671	8.304890843	20.51795972
ENSG00000123562	256.0906578	192.1228539	203.5469677	196.1675688	201.2639119	202.1524403	206.1967175	191.6954915	122.2907099	179.7849825	164.4208251	124.4693463	174.5363119	63.55908144	68.86138657	157.8941708
ENSG00000123560	666.121639	1294.117412	2564.384428	973.0848104	1867.120469	1307.203931	1040.159814	577.4815862	779.0751762	1669.01815	1755.534206	685.0421056	1271.451804	418.8297515	7728.912059	607.8963222
ENSG00000123570	44.82624156	40.1135629	31.86167312	29.4615271	31.04028991	30.28015109	36.29593887	33.47384769	7.479030345	27.10801381	30.69353754	24.39711359	26.02007376	11.52089256	7.093760928	26.1651046
ENSG00000269743	12.77455649	14.77868107	9.138619421	8.797319587	10.87240101	8.764474245	7.080264131	8.281891626	9.534336394	7.531697875	8.787262763	9.053772858	9.11783748	6.666583898	10.38111355	9.788384454
ENSG00000166707	5.626338961	4.804891382	4.583031361	5.506236	5.422367935	5.125793602	4.191925334	4.559368909	5.652091635	5.79361375	5.352804429	4.206398894	4.685054832	3.559826353	2.422259829	7.49187887
ENSG00000123575	156.1078474	155.5765588	114.6032273	137.8141252	125.7380728	132.6061789	135.1129105	130.1151545	73.42009942	102.9738612	122.8979144	106.2816787	110.2429441	96.24475977	83.97167408	110.6087443
ENSG00000189108	7.424922727	7.716946765	5.241670599	9.904895794	7.303597627	9.713695282	6.543493204	7.53161573	2.740408065	5.33622319	4.362690315	4.006094185	4.252588232	2.718412852	1.787858445	6.663630955
ENSG00000157502	43.21212792	53.8002232	38.03641597	34.74624786	28.43976652	33.72898753	30.41701919	32.81014209	6.622652824	23.174455	23.26768168	8.89352909	37.22816647	5.436825703	4.094772568	29.59103916
ENSG00000147231	12.86679156	11.35701599	10.12657828	10.69602166	9.074166748	7.688690402	8.332729627	6.463915416	5.709183469	9.879636078	7.611502252	6.209445986	10.45127616	2.977309314	5.882631014	10.20250841
